timesteps,reward,best_reward
10000 , 242.78500016890467 , 438.80000062286854
20000 , 253.9600005786866 , 571.2000026330352
30000 , 243.35000043176115 , 417.80000230669975
40000 , 220.69000032246112 , 528.1000011637807
50000 , 312.86500062271955 , 589.8000019341707
60000 , 221.1600005492568 , 448.200001694262
70000 , 266.900000776723 , 982.9000045135617
80000 , 212.49500058330597 , 420.90000100433826
90000 , 221.00000031851232 , 452.90000047534704
100000 , 255.6450004633516 , 421.7000012099743
110000 , 268.53500060848893 , 492.70000188052654
120000 , 272.65000075437126 , 420.5000015795231
130000 , 273.96000059619547 , 421.800001680851
140000 , 236.9800007291138 , 529.3000025600195
150000 , 296.2700007401407 , 815.8000015243888
160000 , 301.12000070996584 , 594.2000016719103
170000 , 262.89500074535607 , 527.6000005602837
180000 , 319.8300010345876 , 595.4000025615096
190000 , 332.2700013320893 , 594.8000027686357
200000 , 316.05500105023384 , 728.6000028252602
210000 , 275.20500077456234 , 420.8000022172928
220000 , 305.67000115551053 , 492.8000021278858
230000 , 325.06000126861034 , 572.1000031232834
240000 , 334.13000103645027 , 492.4000000655651
250000 , 336.78000120185317 , 594.7000021412969
260000 , 355.16500151343644 , 730.8000034540892
270000 , 289.58500118739903 , 982.1000042632222
280000 , 374.54500149041417 , 729.1000022739172
290000 , 330.0600011628121 , 984.6000013127923
300000 , 372.91000168137253 , 727.9000036939979
310000 , 289.70500116981566 , 576.7000028565526
320000 , 315.8100012373179 , 491.9000018686056
330000 , 400.2700018621981 , 727.6000031009316
340000 , 398.7150016788393 , 976.600004710257
350000 , 368.05000161230566 , 646.9000031426549
360000 , 253.2950009815395 , 424.0000017955899
370000 , 379.1650014270097 , 729.6000041589141
380000 , 330.9400014124811 , 577.4000030755997
390000 , 461.66000202409924 , 805.5000023841858
400000 , 455.435002040863 , 646.9000027477741
410000 , 392.4000017363578 , 598.1000029742718
420000 , 350.1700015000999 , 594.8000022396445
430000 , 254.38500105179847 , 814.6000044420362
440000 , 360.12000154480336 , 647.2000024840236
450000 , 306.75500123538075 , 573.2000020965934
460000 , 362.14000145830215 , 730.0000022947788
470000 , 440.7350018635392 , 720.9000036865473
480000 , 458.4250020544976 , 724.9000027179718
490000 , 492.0400022163987 , 728.7000034078956
500000 , 222.72000080049037 , 448.700002014637
510000 , 313.49500127993525 , 596.4000028371811
520000 , 461.76500211171805 , 811.6000039875507
530000 , 416.00500186793505 , 731.6000024601817
540000 , 420.99500186480583 , 730.4000031128526
550000 , 545.3700024995953 , 986.8000034689903
560000 , 444.5600019242614 , 730.00000282377
570000 , 379.4650015670806 , 816.400003425777
580000 , 296.01000112481415 , 596.1000015810132
590000 , 550.5800022035837 , 986.3000034093857
600000 , 418.75000188834963 , 987.7000054717064
610000 , 388.410001681 , 816.3000043705106
620000 , 430.77500201538203 , 731.700003027916
630000 , 371.30500184968116 , 816.3000035881996
640000 , 552.6800023104995 , 987.5000032186508
650000 , 436.9850020200014 , 985.2000025361776
660000 , 507.345002355054 , 983.4000047966838
670000 , 428.17500161156056 , 816.200004003942
680000 , 429.75000185780226 , 813.2000029236078
690000 , 465.85500200502577 , 986.8000036552548
700000 , 425.68500197529795 , 858.7000037133694
710000 , 473.4400021761656 , 986.7000046148896
720000 , 589.9550024971365 , 987.6000027954578
730000 , 563.9750026468188 , 985.4000032544136
740000 , 526.2900022119284 , 986.600003503263
750000 , 505.5700025420636 , 986.800004824996
760000 , 444.69000203460456 , 986.1000034287572
770000 , 566.9950023401528 , 986.1000026613474
780000 , 461.98500216342507 , 983.300007045269
790000 , 548.8050023887306 , 982.0000049769878
800000 , 502.6600021634251 , 986.4000039100647
810000 , 489.6500022124499 , 984.6000062003732
820000 , 487.6650022763759 , 987.1000058352947
830000 , 638.2550027515739 , 986.6000037193298
840000 , 529.7450024813413 , 815.9000047072768
850000 , 601.8650026682765 , 814.6000038385391
860000 , 558.8950025655329 , 987.3000029549003
870000 , 569.7000024255365 , 987.7000029832125
880000 , 406.8400015909225 , 724.800002194941
890000 , 631.1050026118755 , 987.6000031605363
900000 , 398.96000185348095 , 728.1000039428473
910000 , 389.50000174343586 , 815.9000040218234
920000 , 524.6650026034564 , 986.4000064879656
930000 , 311.08000111691655 , 810.2000017538667
940000 , 413.27000179216265 , 817.1000036150217
950000 , 420.5750017400831 , 986.20000308007
960000 , 489.94500235132875 , 987.0000061690807
970000 , 441.7450019530952 , 986.8000034987926
980000 , 449.21000178046523 , 985.4000037610531
990000 , 484.2600019004196 , 816.2000029236078
1000000 , 536.6900022603571 , 986.9000056684017
1010000 , 647.170002881065 , 986.6000060662627
1020000 , 609.4100024912507 , 987.9000046029687
1030000 , 543.4000022809953 , 988.0000024363399
1040000 , 449.6300020176917 , 986.7000065222383
1050000 , 533.3400023233146 , 986.20000308007
1060000 , 571.415002611652 , 986.200003400445
1070000 , 492.60500222817063 , 987.0000052526593
1080000 , 565.9500025607646 , 987.7000072300434
1090000 , 540.5200027499347 , 987.4000058695674
1100000 , 540.0650020800531 , 986.9000034928322
1110000 , 336.4400014150888 , 731.1000036075711
1120000 , 467.1200020939112 , 987.3000033572316
1130000 , 529.6800024870784 , 986.9000064358115
1140000 , 559.0850023414939 , 986.3000053688884
1150000 , 566.5400026004761 , 987.3000041246414
1160000 , 630.9500028043985 , 987.8000025451183
1170000 , 543.4950023334474 , 986.5000042393804
1180000 , 649.1600028574467 , 986.8000027984381
1190000 , 530.8050022467971 , 988.1000033244491
1200000 , 533.3550024881959 , 842.2000038400292
1210000 , 633.0100029356778 , 987.3000046759844
1220000 , 550.4050025880337 , 987.8000031039119
1230000 , 467.3250021468848 , 986.8000058606267
1240000 , 446.8050019022077 , 985.1000022292137
1250000 , 471.4500022660941 , 987.0000023916364
1260000 , 534.1750026084483 , 987.5000059828162
1270000 , 583.8400028333068 , 987.2000051066279
1280000 , 562.8250024106353 , 987.0000035911798
1290000 , 581.8600026082247 , 987.40000564605
1300000 , 610.9250029865652 , 987.800005748868
1310000 , 707.2300032518804 , 987.7000038772821
1320000 , 864.7950045403093 , 987.600006185472
1330000 , 599.860002656281 , 986.1000018641353
1340000 , 605.9150031521916 , 987.900006018579
1350000 , 689.2550036046654 , 987.4000055640936
1360000 , 869.1700039803982 , 988.6000047326088
1370000 , 770.0450029917062 , 987.7000029534101
1380000 , 688.4700033769011 , 988.1000050157309
1390000 , 358.75000172555445 , 987.6000057160854
