timesteps,reward_mean,loss_mean,loss,n_updates
160,231.0,0,,
8179,267.0,0,,
16198,267.0,0,,
24217,267.0,0,,
32236,267.0,0,,
40255,267.0,0,,
40415,231.0,0,,
48434,267.0,0,,
48594,231.0,0,,
49134,590.0,0,,
49574,605.0,0,,
55058,344.0,0,0.0156,12514.0
55058,344.0,0,0.0156,12514.0
55058,344.0,0,0.0156,12514.0
55058,344.0,0,0.0156,12514.0
55058,344.0,0,0.0156,12514.0
55058,344.0,0,0.0156,12514.0
55058,344.0,0,0.0156,12514.0
55058,344.0,0,0.0156,12514.0
55058,344.0,0,0.0156,12514.0
55058,344.0,0,0.0156,12514.0
55058,344.0,0,0.0156,12514.0
55058,344.0,0,0.0156,12514.0
55058,344.0,0,0.0156,12514.0
63077,267.0,0,,
71096,267.0,0,,
71256,231.0,0,,
79275,267.0,0,0.00297,18568.0
79275,267.0,0,0.00297,18568.0
79275,267.0,0,0.00297,18568.0
79275,267.0,0,0.00297,18568.0
79275,267.0,0,0.00297,18568.0
79275,267.0,0,0.00297,18568.0
79275,267.0,0,0.00297,18568.0
79275,267.0,0,0.00297,18568.0
79275,267.0,0,0.00297,18568.0
79275,267.0,0,0.00297,18568.0
79275,267.0,0,0.00297,18568.0
79275,267.0,0,0.00297,18568.0
79275,267.0,0,0.00297,18568.0
79275,267.0,0,0.00297,18568.0
79275,267.0,0,0.00297,18568.0
79435,231.0,0,,
87454,267.0,0,,
91060,421.0,0,,
98382,477.0,0,0.0164,23345.0
98382,477.0,0,0.0164,23345.0
98382,477.0,0,0.0164,23345.0
98382,477.0,0,0.0164,23345.0
98382,477.0,0,0.0164,23345.0
98382,477.0,0,0.0164,23345.0
98382,477.0,0,0.0164,23345.0
98382,477.0,0,0.0164,23345.0
98382,477.0,0,0.0164,23345.0
98382,477.0,0,0.0164,23345.0
98382,477.0,0,0.0164,23345.0
98382,477.0,0,0.0164,23345.0
98382,477.0,0,0.0164,23345.0
98382,477.0,0,0.0164,23345.0
98382,477.0,0,0.0164,23345.0
99044,634.0,0,,
101392,505.0,0,,
101552,231.0,0,,
109571,267.0,0,0.00154,26142.0
109571,267.0,0,0.00154,26142.0
109571,267.0,0,0.00154,26142.0
109571,267.0,0,0.00154,26142.0
109571,267.0,0,0.00154,26142.0
109571,267.0,0,0.00154,26142.0
109571,267.0,0,0.00154,26142.0
109571,267.0,0,0.00154,26142.0
109571,267.0,0,0.00154,26142.0
109571,267.0,0,0.00154,26142.0
109571,267.0,0,0.00154,26142.0
109571,267.0,0,0.00154,26142.0
109571,267.0,0,0.00154,26142.0
109571,267.0,0,0.00154,26142.0
109571,267.0,0,0.00154,26142.0
110769,608.0,0,,
110929,231.0,0,,
111089,231.0,0,,
113031,746.0,0,0.0452,27007.0
113031,746.0,0,0.0452,27007.0
113031,746.0,0,0.0452,27007.0
113031,746.0,0,0.0452,27007.0
113031,746.0,0,0.0452,27007.0
113031,746.0,0,0.0452,27007.0
113031,746.0,0,0.0452,27007.0
113031,746.0,0,0.0452,27007.0
113031,746.0,0,0.0452,27007.0
113031,746.0,0,0.0452,27007.0
113031,746.0,0,0.0452,27007.0
113031,746.0,0,0.0452,27007.0
113031,746.0,0,0.0452,27007.0
113031,746.0,0,0.0452,27007.0
113031,746.0,0,0.0452,27007.0
119160,1038.0,0,,
124212,591.0,0,,
126552,964.0,0,,
128398,991.0,0,0.0235,30849.0
128398,991.0,0,0.0235,30849.0
128398,991.0,0,0.0235,30849.0
128398,991.0,0,0.0235,30849.0
128398,991.0,0,0.0235,30849.0
128398,991.0,0,0.0235,30849.0
128398,991.0,0,0.0235,30849.0
128398,991.0,0,0.0235,30849.0
128398,991.0,0,0.0235,30849.0
128398,991.0,0,0.0235,30849.0
128398,991.0,0,0.0235,30849.0
128398,991.0,0,0.0235,30849.0
128398,991.0,0,0.0235,30849.0
128398,991.0,0,0.0235,30849.0
128398,991.0,0,0.0235,30849.0
133530,1098.0,0,,
133690,231.0,0,,
133850,231.0,0,,
134358,606.0,0,0.048,32339.0
134358,606.0,0,0.048,32339.0
134358,606.0,0,0.048,32339.0
134358,606.0,0,0.048,32339.0
134358,606.0,0,0.048,32339.0
134358,606.0,0,0.048,32339.0
134358,606.0,0,0.048,32339.0
134358,606.0,0,0.048,32339.0
134358,606.0,0,0.048,32339.0
134358,606.0,0,0.048,32339.0
134358,606.0,0,0.048,32339.0
134358,606.0,0,0.048,32339.0
134358,606.0,0,0.048,32339.0
134358,606.0,0,0.048,32339.0
134358,606.0,0,0.048,32339.0
134518,231.0,0,,
134678,231.0,0,,
135132,588.0,0,,
135696,580.0,0,0.0478,32673.0
135696,580.0,0,0.0478,32673.0
135696,580.0,0,0.0478,32673.0
135696,580.0,0,0.0478,32673.0
135696,580.0,0,0.0478,32673.0
135696,580.0,0,0.0478,32673.0
135696,580.0,0,0.0478,32673.0
135696,580.0,0,0.0478,32673.0
135696,580.0,0,0.0478,32673.0
135696,580.0,0,0.0478,32673.0
135696,580.0,0,0.0478,32673.0
135696,580.0,0,0.0478,32673.0
135696,580.0,0,0.0478,32673.0
135696,580.0,0,0.0478,32673.0
135696,580.0,0,0.0478,32673.0
141304,792.0,0,,
146402,824.0,0,,
146562,231.0,0,,
146966,620.0,0,0.0332,35491.0
146966,620.0,0,0.0332,35491.0
146966,620.0,0,0.0332,35491.0
146966,620.0,0,0.0332,35491.0
146966,620.0,0,0.0332,35491.0
146966,620.0,0,0.0332,35491.0
146966,620.0,0,0.0332,35491.0
146966,620.0,0,0.0332,35491.0
146966,620.0,0,0.0332,35491.0
146966,620.0,0,0.0332,35491.0
146966,620.0,0,0.0332,35491.0
146966,620.0,0,0.0332,35491.0
146966,620.0,0,0.0332,35491.0
146966,620.0,0,0.0332,35491.0
146966,620.0,0,0.0332,35491.0
152170,1345.0,0,,
152664,579.0,0,,
154616,711.0,0,,
156112,769.0,0,0.0246,37777.0
156112,769.0,0,0.0246,37777.0
156112,769.0,0,0.0246,37777.0
156112,769.0,0,0.0246,37777.0
156112,769.0,0,0.0246,37777.0
156112,769.0,0,0.0246,37777.0
156112,769.0,0,0.0246,37777.0
156112,769.0,0,0.0246,37777.0
156112,769.0,0,0.0246,37777.0
156112,769.0,0,0.0246,37777.0
156112,769.0,0,0.0246,37777.0
156112,769.0,0,0.0246,37777.0
156112,769.0,0,0.0246,37777.0
156112,769.0,0,0.0246,37777.0
156112,769.0,0,0.0246,37777.0
156272,231.0,0,,
156444,226.0,0,,
157068,636.0,0,,
157768,580.0,0,0.0306,38191.0
157768,580.0,0,0.0306,38191.0
157768,580.0,0,0.0306,38191.0
157768,580.0,0,0.0306,38191.0
157768,580.0,0,0.0306,38191.0
157768,580.0,0,0.0306,38191.0
157768,580.0,0,0.0306,38191.0
157768,580.0,0,0.0306,38191.0
157768,580.0,0,0.0306,38191.0
157768,580.0,0,0.0306,38191.0
157768,580.0,0,0.0306,38191.0
157768,580.0,0,0.0306,38191.0
157768,580.0,0,0.0306,38191.0
157768,580.0,0,0.0306,38191.0
157768,580.0,0,0.0306,38191.0
157940,223.0,0,,
158554,713.0,0,,
166573,267.0,0,,
166733,231.0,0,0.0372,40433.0
166733,231.0,0,0.0372,40433.0
166733,231.0,0,0.0372,40433.0
166733,231.0,0,0.0372,40433.0
166733,231.0,0,0.0372,40433.0
166733,231.0,0,0.0372,40433.0
166733,231.0,0,0.0372,40433.0
166733,231.0,0,0.0372,40433.0
166733,231.0,0,0.0372,40433.0
166733,231.0,0,0.0372,40433.0
166733,231.0,0,0.0372,40433.0
166733,231.0,0,0.0372,40433.0
166733,231.0,0,0.0372,40433.0
166733,231.0,0,0.0372,40433.0
166733,231.0,0,0.0372,40433.0
166893,231.0,0,,
169228,962.0,0,,
170018,695.0,0,,
170732,776.0,0,0.0418,41432.0
170732,776.0,0,0.0418,41432.0
170732,776.0,0,0.0418,41432.0
170732,776.0,0,0.0418,41432.0
170732,776.0,0,0.0418,41432.0
170732,776.0,0,0.0418,41432.0
170732,776.0,0,0.0418,41432.0
170732,776.0,0,0.0418,41432.0
170732,776.0,0,0.0418,41432.0
170732,776.0,0,0.0418,41432.0
170732,776.0,0,0.0418,41432.0
170732,776.0,0,0.0418,41432.0
170732,776.0,0,0.0418,41432.0
170732,776.0,0,0.0418,41432.0
170732,776.0,0,0.0418,41432.0
171549,1035.0,0,,
171709,231.0,0,,
172937,678.0,0,,
174439,768.0,0,0.0189,42359.0
174439,768.0,0,0.0189,42359.0
174439,768.0,0,0.0189,42359.0
174439,768.0,0,0.0189,42359.0
174439,768.0,0,0.0189,42359.0
174439,768.0,0,0.0189,42359.0
174439,768.0,0,0.0189,42359.0
174439,768.0,0,0.0189,42359.0
174439,768.0,0,0.0189,42359.0
174439,768.0,0,0.0189,42359.0
174439,768.0,0,0.0189,42359.0
174439,768.0,0,0.0189,42359.0
174439,768.0,0,0.0189,42359.0
174439,768.0,0,0.0189,42359.0
174439,768.0,0,0.0189,42359.0
174599,231.0,0,,
174759,231.0,0,,
175551,804.0,0,,
175711,231.0,0,0.00185,42677.0
175711,231.0,0,0.00185,42677.0
175711,231.0,0,0.00185,42677.0
175711,231.0,0,0.00185,42677.0
175711,231.0,0,0.00185,42677.0
175711,231.0,0,0.00185,42677.0
175711,231.0,0,0.00185,42677.0
175711,231.0,0,0.00185,42677.0
175711,231.0,0,0.00185,42677.0
175711,231.0,0,0.00185,42677.0
175711,231.0,0,0.00185,42677.0
175711,231.0,0,0.00185,42677.0
175711,231.0,0,0.00185,42677.0
175711,231.0,0,0.00185,42677.0
175711,231.0,0,0.00185,42677.0
176355,635.0,0,,
176515,231.0,0,,
178603,1244.0,0,,
179069,576.0,0,0.0304,43517.0
179069,576.0,0,0.0304,43517.0
179069,576.0,0,0.0304,43517.0
179069,576.0,0,0.0304,43517.0
179069,576.0,0,0.0304,43517.0
179069,576.0,0,0.0304,43517.0
179069,576.0,0,0.0304,43517.0
179069,576.0,0,0.0304,43517.0
179069,576.0,0,0.0304,43517.0
179069,576.0,0,0.0304,43517.0
179069,576.0,0,0.0304,43517.0
179069,576.0,0,0.0304,43517.0
179069,576.0,0,0.0304,43517.0
179069,576.0,0,0.0304,43517.0
179069,576.0,0,0.0304,43517.0
179229,231.0,0,,
179403,224.0,0,,
179563,231.0,0,,
179723,231.0,0,0.0327,43680.0
179723,231.0,0,0.0327,43680.0
179723,231.0,0,0.0327,43680.0
179723,231.0,0,0.0327,43680.0
179723,231.0,0,0.0327,43680.0
179723,231.0,0,0.0327,43680.0
179723,231.0,0,0.0327,43680.0
179723,231.0,0,0.0327,43680.0
179723,231.0,0,0.0327,43680.0
179723,231.0,0,0.0327,43680.0
179723,231.0,0,0.0327,43680.0
179723,231.0,0,0.0327,43680.0
179723,231.0,0,0.0327,43680.0
179723,231.0,0,0.0327,43680.0
179723,231.0,0,0.0327,43680.0
181623,1795.0,0,,
182655,1293.0,0,,
183143,582.0,0,,
185043,1264.0,0,0.0333,45010.0
185043,1264.0,0,0.0333,45010.0
185043,1264.0,0,0.0333,45010.0
185043,1264.0,0,0.0333,45010.0
185043,1264.0,0,0.0333,45010.0
185043,1264.0,0,0.0333,45010.0
185043,1264.0,0,0.0333,45010.0
185043,1264.0,0,0.0333,45010.0
185043,1264.0,0,0.0333,45010.0
185043,1264.0,0,0.0333,45010.0
185043,1264.0,0,0.0333,45010.0
185043,1264.0,0,0.0333,45010.0
185043,1264.0,0,0.0333,45010.0
185043,1264.0,0,0.0333,45010.0
185043,1264.0,0,0.0333,45010.0
185223,217.0,0,,
185383,231.0,0,,
188071,645.0,0,,
188529,594.0,0,0.0576,45882.0
188529,594.0,0,0.0576,45882.0
188529,594.0,0,0.0576,45882.0
188529,594.0,0,0.0576,45882.0
188529,594.0,0,0.0576,45882.0
188529,594.0,0,0.0576,45882.0
188529,594.0,0,0.0576,45882.0
188529,594.0,0,0.0576,45882.0
188529,594.0,0,0.0576,45882.0
188529,594.0,0,0.0576,45882.0
188529,594.0,0,0.0576,45882.0
188529,594.0,0,0.0576,45882.0
188529,594.0,0,0.0576,45882.0
188529,594.0,0,0.0576,45882.0
188529,594.0,0,0.0576,45882.0
189269,774.0,0,,
190698,1001.0,0,,
191396,770.0,0,,
191556,231.0,0,0.0432,46638.0
191556,231.0,0,0.0432,46638.0
191556,231.0,0,0.0432,46638.0
191556,231.0,0,0.0432,46638.0
191556,231.0,0,0.0432,46638.0
191556,231.0,0,0.0432,46638.0
191556,231.0,0,0.0432,46638.0
191556,231.0,0,0.0432,46638.0
191556,231.0,0,0.0432,46638.0
191556,231.0,0,0.0432,46638.0
191556,231.0,0,0.0432,46638.0
191556,231.0,0,0.0432,46638.0
191556,231.0,0,0.0432,46638.0
191556,231.0,0,0.0432,46638.0
191556,231.0,0,0.0432,46638.0
191716,231.0,0,,
191876,231.0,0,,
192036,231.0,0,,
192958,1037.0,0,0.0302,46989.0
192958,1037.0,0,0.0302,46989.0
192958,1037.0,0,0.0302,46989.0
192958,1037.0,0,0.0302,46989.0
192958,1037.0,0,0.0302,46989.0
192958,1037.0,0,0.0302,46989.0
192958,1037.0,0,0.0302,46989.0
192958,1037.0,0,0.0302,46989.0
192958,1037.0,0,0.0302,46989.0
192958,1037.0,0,0.0302,46989.0
192958,1037.0,0,0.0302,46989.0
192958,1037.0,0,0.0302,46989.0
192958,1037.0,0,0.0302,46989.0
192958,1037.0,0,0.0302,46989.0
192958,1037.0,0,0.0302,46989.0
193888,721.0,0,,
194048,231.0,0,,
194208,231.0,0,,
194946,794.0,0,0.0579,47486.0
194946,794.0,0,0.0579,47486.0
194946,794.0,0,0.0579,47486.0
194946,794.0,0,0.0579,47486.0
194946,794.0,0,0.0579,47486.0
194946,794.0,0,0.0579,47486.0
194946,794.0,0,0.0579,47486.0
194946,794.0,0,0.0579,47486.0
194946,794.0,0,0.0579,47486.0
